precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Haysville,60,Presidential Electors,57,17,12,0,23,2,1,0,0,0,2,0,0,0,0,0
Heidelberg,917,Presidential Electors,716,274,99,9,288,33,2,2,0,0,2,1,0,3,2,0
Homestead Ward 1 Dist 1,571,Presidential Electors,339,155,88,6,67,16,1,3,0,0,0,0,0,1,0,0
Homestead Ward 1 Dist 2,345,Presidential Electors,204,137,41,3,14,4,2,0,1,0,0,0,0,0,0,0
Homestead Ward 2 Dist 1,470,Presidential Electors,284,167,64,14,33,1,0,1,2,0,0,0,0,2,0,0
Homestead Ward 2 Dist 2,278,Presidential Electors,177,120,29,2,19,1,0,0,0,0,1,0,0,1,0,0
Homestead Ward 3 Dist 1,439,Presidential Electors,247,160,33,10,32,5,0,1,0,0,2,0,0,2,0,0
Homestead Ward 3 Dist 2,261,Presidential Electors,149,108,26,1,10,3,0,0,1,0,0,0,0,0,0,0
Indiana Dist 1,970,Presidential Electors,815,233,145,5,336,72,8,3,1,0,6,1,0,4,1,0
Indiana Dist 2,871,Presidential Electors,738,194,141,5,313,74,6,0,0,0,1,1,0,1,1,0
Indiana Dist 3,1598,Presidential Electors,1305,318,248,4,575,137,2,3,0,0,6,4,0,4,1,0
Indiana Dist 4,1199,Presidential Electors,1002,298,228,7,337,109,4,4,0,0,7,1,0,3,0,0
Indiana Dist 5,1000,Presidential Electors,855,245,208,9,308,68,5,0,3,0,1,0,0,3,2,0
Ingram Dist 1,844,Presidential Electors,671,268,121,9,222,32,1,5,0,0,5,1,0,4,0,0
Ingram Dist 2,626,Presidential Electors,485,193,83,3,167,32,0,0,0,0,6,0,0,1,0,0
Ingram Dist 3,921,Presidential Electors,767,296,137,3,270,45,4,3,0,0,1,3,0,1,0,0
Jefferson Hl Dist 1,1199,Presidential Electors,1039,249,183,9,452,126,5,4,1,1,2,0,0,2,2,0
Jefferson Hl Dist 2,934,Presidential Electors,793,146,96,7,436,94,5,0,0,0,2,2,0,2,1,0
Jefferson Hl Dist 3,1160,Presidential Electors,911,204,185,4,388,112,4,3,0,0,4,2,0,1,0,0
Jefferson Hl Dist 4,968,Presidential Electors,773,163,158,3,345,86,3,2,1,0,4,1,0,3,0,0
Jefferson Hl Dist 5,1191,Presidential Electors,1021,217,191,7,418,165,5,0,0,0,4,0,0,8,1,0
Jefferson Hl Dist 6,820,Presidential Electors,700,100,67,1,460,63,0,4,0,0,2,1,0,2,0,0
Jefferson Hl Dist 7,673,Presidential Electors,587,101,80,3,300,90,4,1,2,0,1,0,0,1,1,0
Jefferson Hl Dist 8,1077,Presidential Electors,945,230,188,6,397,107,4,1,0,0,3,0,0,4,1,0
Jefferson Hl Dist 9,1101,Presidential Electors,975,207,214,4,399,140,4,2,0,0,0,0,0,3,0,0
Kennedy Dist 1,1500,Presidential Electors,1310,325,244,4,553,155,4,6,1,0,4,1,0,9,2,0
Kennedy Dist 2,988,Presidential Electors,774,213,186,8,291,61,3,0,3,0,1,1,0,4,1,0
Kennedy Dist 3,988,Presidential Electors,843,215,169,2,361,76,1,4,0,0,2,2,0,6,0,0
Kennedy Dist 4,455,Presidential Electors,388,119,76,2,140,43,1,1,0,0,0,0,0,1,0,0
Kennedy Dist 5,1439,Presidential Electors,1246,358,213,3,524,115,8,2,2,0,3,3,0,11,2,0
Kennedy Dist 6,949,Presidential Electors,747,209,158,3,306,55,3,3,1,0,1,1,1,2,0,0
Kennedy Dist 7,564,Presidential Electors,502,135,93,3,213,48,4,1,1,0,2,0,0,1,0,0
Kilbuck,608,Presidential Electors,525,164,107,1,191,54,2,0,0,0,2,0,0,2,0,0
Leet Dist 1,423,Presidential Electors,344,134,50,3,141,12,0,2,0,0,1,0,0,1,0,0
Leet Dist 2,796,Presidential Electors,668,206,163,5,222,66,1,0,0,0,2,0,0,0,1,0
Leetsdale,841,Presidential Electors,635,243,82,4,242,47,3,2,2,0,2,1,0,2,0,0
Liberty Dist 1,889,Presidential Electors,729,179,87,2,409,48,1,0,0,0,0,0,0,2,0,0
Liberty Dist 2,783,Presidential Electors,650,169,71,2,363,34,2,4,0,0,2,1,0,1,0,0
Lincoln,662,Presidential Electors,567,91,64,1,366,41,1,0,0,0,2,0,0,0,0,0
